title,rates_index
usd-sofr,"```json {""rates_index_id"": ""USD-SOFR"", ""_type"": ""RatesIndexKey""}"
usd sofr,"```json {""rates_index_id"": ""USD-SOFR"", ""_type"": ""RatesIndexKey""}"
sofr,"```json {""rates_index_id"": ""USD-SOFR"", ""_type"": ""RatesIndexKey""}"
usd,"```json {""rates_index_id"": ""USD-SOFR"", ""_type"": ""RatesIndexKey""}"
eur-eurostr,"```json {""rates_index_id"": ""EUR-EuroSTR"", ""_type"": ""RatesIndexKey""}"
eur eurostr,"```json {""rates_index_id"": ""EUR-EuroSTR"", ""_type"": ""RatesIndexKey""}"
eurostr,"```json {""rates_index_id"": ""EUR-EuroSTR"", ""_type"": ""RatesIndexKey""}"
â‚¬str,"```json {""rates_index_id"": ""EUR-EuroSTR"", ""_type"": ""RatesIndexKey""}"
eur,"```json {""rates_index_id"": ""EUR-EuroSTR"", ""_type"": ""RatesIndexKey""}"
